velocidad_bala,distancia,altura_bala,salto,agachado
-6,400,0,1,0
-6,394,0,1,0
-6,388,0,1,0
-6,382,0,1,0
-6,376,0,1,0
-6,370,0,1,0
-6,364,0,1,0
-6,358,0,1,0
-6,352,0,1,0
-6,346,0,1,0
-6,340,0,1,0
-6,334,0,1,0
-6,328,0,1,0
-6,322,0,1,0
-6,316,0,1,0
-6,310,0,0,0
-6,304,0,0,0
-6,298,0,0,0
-6,292,0,0,0
-6,286,0,0,0
-6,280,0,1,0
-6,274,0,1,0
-6,268,0,1,0
-6,262,0,1,0
-6,256,0,1,0
-6,250,0,1,0
-6,244,0,1,0
-6,238,0,1,0
-6,232,0,1,0
-6,226,0,1,0
-6,220,0,1,0
-6,214,0,1,0
-6,208,0,1,0
-6,202,0,1,0
-6,196,0,1,0
-6,190,0,1,0
-6,184,0,1,0
-6,178,0,1,0
-6,172,0,1,0
-6,166,0,1,0
-6,160,0,1,0
-6,154,0,1,0
-6,148,0,1,0
-6,142,0,1,0
-6,136,0,1,0
-6,130,0,1,0
-6,124,0,1,0
-6,118,0,1,0
-6,112,0,1,0
-6,106,0,1,0
-6,100,0,0,0
-6,94,0,0,0
-6,88,0,0,0
-6,82,0,0,0
-6,76,0,1,0
-6,70,0,1,0
-6,64,0,1,0
-6,58,0,1,0
-6,52,0,1,0
-6,46,0,1,0
-6,40,0,1,0
-6,34,0,1,0
-6,28,0,1,0
-6,22,0,1,0
-6,16,0,1,0
-6,10,0,1,0
-6,4,0,1,0
-6,2,0,1,0
-6,8,0,1,0
-6,14,0,1,0
-6,20,0,1,0
-6,26,0,1,0
-6,32,0,1,0
-6,38,0,1,0
-6,44,0,1,0
-6,50,0,1,0
-9,700,1,1,0
-9,691,1,1,0
-9,682,1,1,0
-9,673,1,1,0
-9,664,1,1,0
-9,655,1,1,0
-9,646,1,1,0
-9,637,1,1,0
-9,628,1,0,0
-9,619,1,0,0
-9,610,1,0,0
-9,601,1,1,0
-9,592,1,1,0
-9,583,1,1,0
-9,574,1,1,0
-9,565,1,1,0
-9,556,1,1,0
-9,547,1,1,0
-9,538,1,1,0
-9,529,1,1,0
-9,520,1,1,0
-9,511,1,1,0
-9,502,1,1,0
-9,493,1,1,0
-9,484,1,1,0
-9,475,1,1,0
-9,466,1,1,0
-9,457,1,1,0
-9,448,1,1,0
-9,439,1,1,0
-9,430,1,1,0
-9,421,1,1,0
-9,412,1,1,0
-9,403,1,1,0
-9,394,1,1,0
-9,385,1,1,0
-9,376,1,1,0
-9,367,1,1,0
-9,358,1,1,0
-9,349,1,1,0
-9,340,1,1,0
-9,331,1,0,0
-9,322,1,0,0
-9,313,1,0,0
-9,304,1,0,0
-9,295,1,1,0
-9,286,1,1,0
-9,277,1,1,0
-9,268,1,1,0
-9,259,1,1,0
-9,250,1,1,0
-9,241,1,1,0
-9,232,1,1,0
-9,223,1,1,0
-9,214,1,1,0
-9,205,1,1,0
-9,196,1,1,0
-9,187,1,1,0
-9,178,1,1,0
-9,169,1,1,0
-9,160,1,1,0
-9,151,1,1,0
-9,142,1,1,0
-9,133,1,1,0
-9,124,1,1,0
-9,115,1,1,0
-9,106,1,1,0
-9,97,1,1,0
-9,88,1,1,0
-9,79,1,1,0
-9,70,1,1,0
-9,61,1,1,0
-9,52,1,1,0
-9,43,1,1,0
-9,34,1,1,0
-6,700,1,0,0
-6,694,1,0,0
-6,688,1,0,0
-6,682,1,0,0
-6,676,1,0,0
-6,670,1,0,0
-6,664,1,0,0
-6,658,1,0,0
-6,652,1,0,0
-6,646,1,0,0
-6,640,1,0,0
-6,634,1,0,0
-6,628,1,1,0
-6,622,1,1,0
-6,616,1,1,0
-6,610,1,1,0
-6,604,1,1,0
-6,598,1,1,0
-6,592,1,1,0
-6,586,1,1,0
-6,580,1,1,0
-6,574,1,1,0
-6,568,1,1,0
-6,562,1,1,0
-6,556,1,1,0
-6,550,1,1,0
-6,544,1,1,0
-6,538,1,1,0
-6,532,1,1,0
-6,526,1,1,0
-6,520,1,1,0
-6,514,1,1,0
-6,508,1,1,0
-6,502,1,1,0
-6,496,1,1,0
-6,490,1,1,0
-6,484,1,1,0
-6,478,1,1,0
-6,472,1,1,0
-6,466,1,1,0
-6,460,1,1,0
-6,454,1,1,0
-6,448,1,0,0
-6,442,1,1,0
-6,436,1,1,0
-6,430,1,1,0
-6,424,1,1,0
-6,418,1,1,0
-6,412,1,1,0
-6,406,1,1,0
-6,400,1,1,0
-6,394,1,1,0
-6,388,1,1,0
-6,382,1,1,0
-6,376,1,1,0
-6,370,1,1,0
-6,364,1,1,0
-6,358,1,1,0
-6,352,1,1,0
-6,346,1,1,0
-6,340,1,1,0
-6,334,1,1,0
-6,328,1,1,0
-6,322,1,1,0
-6,316,1,1,0
-6,310,1,1,0
-6,304,1,1,0
-6,298,1,1,0
-6,292,1,1,0
-6,286,1,1,0
-6,280,1,1,0
-6,274,1,1,0
-6,268,1,1,0
-6,262,1,0,0
-6,256,1,0,0
-6,250,1,0,0
-6,244,1,0,0
-6,238,1,0,0
-6,232,1,1,0
-6,226,1,1,0
-6,220,1,1,0
-6,214,1,1,0
-6,208,1,1,0
-6,202,1,1,0
-6,196,1,1,0
-6,190,1,1,0
-6,184,1,1,0
-6,178,1,1,0
-6,172,1,1,0
-6,166,1,1,0
-6,160,1,1,0
-6,154,1,1,0
-6,148,1,1,0
-6,142,1,1,0
-6,136,1,1,0
-6,130,1,1,0
-6,124,1,1,0
-6,118,1,1,0
-6,112,1,1,0
-6,106,1,1,0
-6,100,1,1,0
-6,94,1,1,0
-6,88,1,1,0
-6,82,1,1,0
-6,76,1,1,0
-6,70,1,1,0
-6,64,1,1,0
-6,58,1,1,0
-6,52,1,0,0
-6,46,1,0,0
-6,40,1,0,0
-6,34,1,0,0
-8,700,0,0,0
-8,692,0,0,0
-8,684,0,0,0
-8,676,0,0,0
-8,668,0,0,0
-8,660,0,0,0
-8,652,0,0,0
-8,644,0,0,0
-8,636,0,0,0
-8,628,0,0,0
-8,620,0,1,0
-8,612,0,1,0
-8,604,0,1,0
-8,596,0,1,0
-8,588,0,1,0
-8,580,0,1,0
-8,572,0,1,0
-8,564,0,1,0
-8,556,0,1,0
-8,548,0,1,0
-8,540,0,1,0
-8,532,0,1,0
-8,524,0,1,0
-8,516,0,1,0
-8,508,0,1,0
-8,500,0,1,0
-8,492,0,1,0
-8,484,0,1,0
-8,476,0,1,0
-8,468,0,1,0
-8,460,0,1,0
-8,452,0,1,0
-8,444,0,1,0
-8,436,0,1,0
-8,428,0,1,0
-8,420,0,1,0
-8,412,0,1,0
-8,404,0,1,0
-8,396,0,1,0
-8,388,0,1,0
-8,380,0,0,0
-8,372,0,0,0
-8,364,0,0,0
-8,356,0,0,0
-8,348,0,1,0
-8,340,0,1,0
-8,332,0,1,0
-8,324,0,1,0
-8,316,0,1,0
-8,308,0,1,0
-8,300,0,1,0
-8,292,0,1,0
-8,284,0,1,0
-8,276,0,1,0
-8,268,0,1,0
-8,260,0,1,0
-8,252,0,1,0
-8,244,0,1,0
-8,236,0,1,0
-8,228,0,1,0
-8,220,0,1,0
-8,212,0,1,0
-8,204,0,1,0
-8,196,0,1,0
-8,188,0,1,0
-8,180,0,1,0
-8,172,0,1,0
-8,164,0,1,0
-8,156,0,1,0
-8,148,0,1,0
-8,140,0,1,0
-8,132,0,1,0
-8,124,0,1,0
-8,116,0,1,0
-8,108,0,0,0
-8,100,0,0,0
-8,92,0,0,0
-8,84,0,0,0
-8,76,0,0,0
-8,68,0,1,0
-8,60,0,1,0
-8,52,0,1,0
-8,44,0,1,0
-8,36,0,1,0
-8,28,0,1,0
-8,20,0,1,0
-8,12,0,1,0
-8,4,0,1,0
-8,4,0,1,0
-8,12,0,1,0
-8,20,0,1,0
-8,28,0,1,0
-8,36,0,1,0
-8,44,0,1,0
-9,700,1,1,0
-9,691,1,1,0
-9,682,1,1,0
-9,673,1,1,0
-9,664,1,1,0
-9,655,1,1,0
-9,646,1,1,0
-9,637,1,1,0
-9,628,1,1,0
-9,619,1,1,0
-9,610,1,1,0
-9,601,1,1,0
-9,592,1,1,0
-9,583,1,1,0
-9,574,1,1,0
-9,565,1,0,0
-9,556,1,0,0
-9,547,1,1,0
-9,538,1,1,0
-9,529,1,1,0
-9,520,1,1,0
-9,511,1,1,0
-9,502,1,1,0
-9,493,1,1,0
